label	input_hex	cpp_md1	rust_md1	known_answer
binary16-42	cdbfb904cdcae21738edb432cd2f1032	5a8b5b239261100b03a3faa66a4a39d7	5a8b5b239261100b03a3faa66a4a39d7	
binary16-43	8ff7e2025e055afa2e38116f1540b637	1d1fded100121590abfe259ade8f19f8	1d1fded100121590abfe259ade8f19f8	
binary16-44	5bda1aa1ec475480c702b7fca1ba4ef3	16807a0c6cc1ceb6a99eedeb01955ec3	16807a0c6cc1ceb6a99eedeb01955ec3	
binary16-45	f68e839138b44f9db924269348fb2a7d	10a5a9323f88f2f85b7a96147cd4fd83	10a5a9323f88f2f85b7a96147cd4fd83	
binary16-46	4bf75640fb339c712c4a867c5aeddcf9	b0b5997c611284fafeba3837c63fb8d0	b0b5997c611284fafeba3837c63fb8d0	
binary16-47	23b6993d9446864895ba5abcb2bccc5b	c2a461376fd042dba837bed89ecaa320	c2a461376fd042dba837bed89ecaa320	
binary16-48	f77d49ffa7d1abd2b769cf288973b330	3693751a289ef2d9e4c6ef8d9134d41a	3693751a289ef2d9e4c6ef8d9134d41a	
binary16-49	6124692a6c350d46d993f27df8dd5348	32c38e3cca8d514ce34963856a9f2bb9	32c38e3cca8d514ce34963856a9f2bb9	
binary16-50	f6143c3673f509d85ec235858137df21	a322b7202134b23a76f104bae6b14b82	a322b7202134b23a76f104bae6b14b82	
binary16-51	61dbd045550ca36d4f3f3298121dca2d	e4bb48a7532b56fb630444d35bae84c0	e4bb48a7532b56fb630444d35bae84c0	
binary16-52	bedf82547cc3ba2490177d6dbe734db0	911d9a69b55314d13cf0cb27a5d15562	911d9a69b55314d13cf0cb27a5d15562	
binary16-53	db038f51434008d1f8d0dd265a864030	1506c7ae3a9e70dcc95df6203ad6f2eb	1506c7ae3a9e70dcc95df6203ad6f2eb	
binary16-54	05944b9e35ab66a67ae5a81311eaa791	4347171c7582743c98a9da023e4a2a6c	4347171c7582743c98a9da023e4a2a6c	
binary16-55	26520cb69b296fad657b2b49ace2b6ad	c59e12573c2ad6bcf76ed44fd7bf25d4	c59e12573c2ad6bcf76ed44fd7bf25d4	
binary16-56	dadaee05e1486350acf137b787fa83b8	42578f0a6ac210f773d801b9dedff8b9	42578f0a6ac210f773d801b9dedff8b9	
binary16-57	2c9c980266b3f2fa0b086cbc416c79af	9ca32620b4eab56b9afb6f1cce19df3c	9ca32620b4eab56b9afb6f1cce19df3c	
binary16-58	9e160fed759193483e8b2df150ae34ca	84994ef3f5fa2d9372adc5a400dcceb0	84994ef3f5fa2d9372adc5a400dcceb0	
binary16-59	4b2eb3ee1461ae58c1794b9847628b84	20c092ad8a782b0c2dfcd323b89df535	20c092ad8a782b0c2dfcd323b89df535	
binary16-60	1cf24ac31466f1399751705d0a8851dd	ffcc30a9662ecc8880f929dc9765e2db	ffcc30a9662ecc8880f929dc9765e2db	
binary16-61	0aeb2d1633dcc0fbf32dc71de55d7c05	46c4c67a482d817f9b5b7fecc7c6426c	46c4c67a482d817f9b5b7fecc7c6426c	
binary16-62	45f32682b95c577afd668591d779fb46	3e13730e3a30a8a62f291f16c5ac97ca	3e13730e3a30a8a62f291f16c5ac97ca	
binary16-63	7b3b9532f9685ff5c325b05373c65a55	05664de3472e75db12d29e7a15a86dfe	05664de3472e75db12d29e7a15a86dfe	
binary16-64	2c0ff1c500ecb62fef14cb337bee6b2b	3b69c15c3b339ba828e1d446d64661f5	3b69c15c3b339ba828e1d446d64661f5	
binary16-65	66b17fded3afec69a9fd9755fbbd86be	fc8fb03d3bc6e611f99775cae1695e48	fc8fb03d3bc6e611f99775cae1695e48	
binary16-66	f8d96916d2541ec0f521b3d643cfc6c9	e34a5ffddc04c1b911c7e87a4e7f9914	e34a5ffddc04c1b911c7e87a4e7f9914	
binary16-67	b6cfa904eddfa5ca6a568a7703a2ae9b	86f267e2ead372366b937666dd6a1eac	86f267e2ead372366b937666dd6a1eac	
binary16-68	b639240fa3f497155177c839df60328e	353c6475021511c3c1fcee08a2d77e99	353c6475021511c3c1fcee08a2d77e99	
binary16-69	33c508666cf563af2e01b53d84be9e8d	020033e614a2d4994cdf0c8cfbf1d417	020033e614a2d4994cdf0c8cfbf1d417	
binary16-70	c3548a61190e500623c045c4a74c63e6	7f3e558af2a533c6dcaf086ceeb83606	7f3e558af2a533c6dcaf086ceeb83606	
binary16-71	148fb8dffe2c837b6910712f38a76681	dfe16002f69032d89ec4183c7b734263	dfe16002f69032d89ec4183c7b734263	
binary16-72	67f6b5df1d8616c546679f1638eb84a4	814bb05793cb8a532c78d77f66f070b5	814bb05793cb8a532c78d77f66f070b5	
binary16-73	07a387b24b9ec189128b9e0debfdf18a	581d27307844d1d68afebb6e4c289d4b	581d27307844d1d68afebb6e4c289d4b	
binary16-74	7024d7953a97855acb0f0c11ad7ced0b	d00ab9489036e7a144f225dc05834414	d00ab9489036e7a144f225dc05834414	
binary16-75	37e09087948d01ef5279a861990765f9	18c26e3b3ef0305208faa21994aae378	18c26e3b3ef0305208faa21994aae378	
binary16-76	8ffd811b2ba3748ae53dc0bd36b689a2	af603c830762431109421779c5efb2a7	af603c830762431109421779c5efb2a7	
binary16-77	ea3152e628e683d22247aa860991dbd2	61799004b1e9ca7c526d3a3c8dbb8854	61799004b1e9ca7c526d3a3c8dbb8854	
binary16-78	bfad841e5c60e9ab1d33366c5e581b5f	daa1c7abbd10660c7411683625ea015c	daa1c7abbd10660c7411683625ea015c	
binary16-79	de20b25a553ca33ddd26a6a2194d3720	e22a0f6036da8c126bfe7c700af75852	e22a0f6036da8c126bfe7c700af75852	
binary16-80	66a216c0223c8224159dca1a4b4482f6	d52c87de580e2d4053c09b2367c85f93	d52c87de580e2d4053c09b2367c85f93	
binary16-81	3124211e9e73aea5a1f13b294f45cf9e	48fcd45706e96ee0d8fc02de35a1510e	48fcd45706e96ee0d8fc02de35a1510e	
binary16-82	5f3abe92a8662a24bcfae84f018331c1	0de5146f5da9170fc695f7708d1ea009	0de5146f5da9170fc695f7708d1ea009	
binary16-83	c288ab8b6fc7434aaffc896097362764	eeb77019a1a3622f46f3f10074e113eb	eeb77019a1a3622f46f3f10074e113eb	
binary16-84	57dc703f8ec94008c613510536700ac2	d7e646d34588629e612c9031adde7d48	d7e646d34588629e612c9031adde7d48	
binary16-85	8ab5649f90a5eebf482bad36a5e0de43	b27d5f534a2063780e096bd5debe647c	b27d5f534a2063780e096bd5debe647c	
binary16-86	803cac5df0626b3573f17c3f902a4f04	e311972e4d4b9838fed99ed6d69e485a	e311972e4d4b9838fed99ed6d69e485a	
binary16-87	e23f4ae3378f949d9d51d528374b49e7	b41815b25ad8e8c54fc4bbb31a1c0a30	b41815b25ad8e8c54fc4bbb31a1c0a30	
binary16-88	a82569e05bd44920105e3e78b320bbb2	8a6fe83a5160fa3bd2938d1bcb9f3808	8a6fe83a5160fa3bd2938d1bcb9f3808	
binary16-89	5fb1b94535f1fbd605e595eebb77d086	a9dd467721a59048d252d0eddb92d0e1	a9dd467721a59048d252d0eddb92d0e1	
binary16-90	861fc510d0a54cb8e7d3d69b4cc31665	0e5d021ef0d65bee94a291815b119ffc	0e5d021ef0d65bee94a291815b119ffc	
binary16-91	9a3e24671c81b7df7a959c33cd1557d7	7b48a259bff488fbf171bb6fa75e38f1	7b48a259bff488fbf171bb6fa75e38f1	
binary16-92	0bb78fa6de6ef151db3fef40a8aa21ce	1fc294f16d75026a20cf75a420646a7a	1fc294f16d75026a20cf75a420646a7a	
binary16-93	dfbf4682808b79e0bbb572b25607bc29	6883ffde58b204f280b566037da37802	6883ffde58b204f280b566037da37802	
binary16-94	c6b2fd96d13da6406bb422a1178ceeb2	721339a492b90f4871983fca0b3bd927	721339a492b90f4871983fca0b3bd927	
binary16-95	b11652fccee67e8b0a59f67da1f9e577	4e5bc9cded78c32e6be35d519c187156	4e5bc9cded78c32e6be35d519c187156	
binary16-96	31a4d6bef93acc1216bd9cdbe86781e2	9ebea99ef1ecb10736399b99f0bcbf7e	9ebea99ef1ecb10736399b99f0bcbf7e	
binary16-97	6a66038dfe12cfdbf1959aa9b64c3251	b1f8000ab370beb799f49b9997a232d7	b1f8000ab370beb799f49b9997a232d7	
binary16-98	e654cc15362d4ff6fa6d70b421d0be55	7a8c38fb5fecd1e67b0a49e5d59e5d89	7a8c38fb5fecd1e67b0a49e5d59e5d89	
binary16-99	76f1bfb40cf240f0000dbc09f2a42074	7af70c1fb94866c80bcd9fbb5f5b6699	7af70c1fb94866c80bcd9fbb5f5b6699	
binary16-100	6f8c927a1b6d89569fe6d54a051ff0cc	b8a4ba62b5d51cbf2f011a279c253072	b8a4ba62b5d51cbf2f011a279c253072	
binary16-101	6a682a52bbc91fe1f295ee695bbffbf4	00f00455660f380b3637f0db5a50578e	00f00455660f380b3637f0db5a50578e	
binary16-102	692dccdce0ece374ed03f63886de817d	189f8fd4f9320210b888977437451e93	189f8fd4f9320210b888977437451e93	
binary16-103	dacf061c4f59183dc53927846b093bc6	99764a6d061739ce8b3285221b96b6ec	99764a6d061739ce8b3285221b96b6ec	
binary16-104	f9b4d023c42fb7c4e2b8902995620e5c	cb76afa835280168040f5944ab68dd28	cb76afa835280168040f5944ab68dd28	
binary16-105	29ff90cf4a06ba9068d7b3c163b5c739	0554ce25dd4205f19ba922daa56fbc13	0554ce25dd4205f19ba922daa56fbc13	
binary16-106	ea7e09046b413664d945d1c3a4ad1b35	fc619eb645780117b871cbe96ba271b4	fc619eb645780117b871cbe96ba271b4	
binary16-107	d28b21984c8724f682aec75a91400b03	95417d36e4e02cd30d20435c4249d05f	95417d36e4e02cd30d20435c4249d05f	
binary16-108	464d6148b6cf37d2c3e45bde6cdaa702	95e7d99d83f5132fff103a3179a7d3b8	95e7d99d83f5132fff103a3179a7d3b8	
binary16-109	19b91151a65017f3d628b1a9770e2e54	34d62d6261d9a369dcfbd636c4a4dbfd	34d62d6261d9a369dcfbd636c4a4dbfd	
binary16-110	109423833717852a03f5c6a8ad28c86d	2bddafc136feb3415131db1bc9b4b7a7	2bddafc136feb3415131db1bc9b4b7a7	
binary16-111	6463500a8c993cc6af6d69b2ef46ca67	2b7b7bb2010f3ae846890a8a21af4434	2b7b7bb2010f3ae846890a8a21af4434	
binary16-112	2120202c5be9306583b5083140dd01eb	9173d74b1dea259881f1a601d0414e35	9173d74b1dea259881f1a601d0414e35	
binary16-113	91be6cd0e055575130fc4014385b1206	aa0c85b0ca3bba11efcb610bcc2306f7	aa0c85b0ca3bba11efcb610bcc2306f7	
binary16-114	0633a8b78eeec1ed1035cdf2f52bfe4b	52b5339175612122db63b8c30cb0a3e8	52b5339175612122db63b8c30cb0a3e8	
binary16-115	44f7011e7aa0773d1f0bb7fd59b71369	11e24fca61abe5dcbc502e6b5a88391d	11e24fca61abe5dcbc502e6b5a88391d	
binary16-116	dd7c56d5bae1cadd7e3dd3e12abd94c2	12f4b9698a727503cb3c70144b4abd83	12f4b9698a727503cb3c70144b4abd83	
binary16-117	bbfe98c3089169cbff97f2ceb93a6293	c45f6cc0718c83c493dc9d626ed6363a	c45f6cc0718c83c493dc9d626ed6363a	
binary16-118	69412fe7830b8122d80049f6d90c07f5	fe9730571f269fd5e955cb7bb406afd5	fe9730571f269fd5e955cb7bb406afd5	
binary16-119	5964876df3f0dfc3e3a9d76118e7e313	e62dfd9b610a322aa67e665edfadbc9c	e62dfd9b610a322aa67e665edfadbc9c	
binary16-120	ef78c39f837d353016510252451e394f	9cc90c5642e57d24c3fc1d6ed0def5a1	9cc90c5642e57d24c3fc1d6ed0def5a1	
binary16-121	6398115485f6a82dc9777111f798c91c	d410d68f62d4f413153d203a2ed608e5	d410d68f62d4f413153d203a2ed608e5	
binary16-122	83b3bfba859fd3ef475d58817f9b88f6	665ad2192ee0137f0027b42dd1b3c760	665ad2192ee0137f0027b42dd1b3c760	
binary16-123	689f099393351c081ac7c67cc0d5785c	030e646d462a3589b01febaf2f207b92	030e646d462a3589b01febaf2f207b92	
binary16-124	481a1949103f3a3d1d2844e405a01fe2	a1ba0c77b7d783cbd8a27b410d2f11a5	a1ba0c77b7d783cbd8a27b410d2f11a5	
binary16-125	cc5349c8c55c64fb4ff98586e523fd6d	7e79ddf9023cb87946ded4032ae2bf9f	7e79ddf9023cb87946ded4032ae2bf9f	
binary16-126	5a4966580ecc9be14b409c16c1da521f	668ee6b5358edbf3646d4d150941e05e	668ee6b5358edbf3646d4d150941e05e	
binary16-127	6884bd5299a71eced3c11b6cf1aa716b	3061474d039dec6bcd3a53fe4c991482	3061474d039dec6bcd3a53fe4c991482	
length-15	c5d2dfecf90613202d3a4754616e7b	d009614a1430b46ab0733b04302c08d5	d009614a1430b46ab0733b04302c08d5	
length-17	c5d2dfecf90613202d3a4754616e7b8895	1d9235999285b08eca4041173fb18b13	1d9235999285b08eca4041173fb18b13	
length-31	c5d2dfecf90613202d3a4754616e7b8895a2afbcc9d6e3f0fd0a1724313e4b	35aac167f0184945a6d5609cfe72ab99	35aac167f0184945a6d5609cfe72ab99	
length-32	c5d2dfecf90613202d3a4754616e7b8895a2afbcc9d6e3f0fd0a1724313e4b58	06ee94e7070a512e06501970e9092e05	06ee94e7070a512e06501970e9092e05	
length-33	c5d2dfecf90613202d3a4754616e7b8895a2afbcc9d6e3f0fd0a1724313e4b5865	7e15a7fbc7310fbdff087d9f21891289	7e15a7fbc7310fbdff087d9f21891289	
length-48	c5d2dfecf90613202d3a4754616e7b8895a2afbcc9d6e3f0fd0a1724313e4b5865727f8c99a6b3c0cddae7f4010e1b28	9547144d704090697a33c7c930e14483	9547144d704090697a33c7c930e14483	
length-65	c5d2dfecf90613202d3a4754616e7b8895a2afbcc9d6e3f0fd0a1724313e4b5865727f8c99a6b3c0cddae7f4010e1b2835424f5c697683909daab7c4d1deebf805	2295a2063153411fb585d74dc8d05ddf	2295a2063153411fb585d74dc8d05ddf	
carry-before-0	00000000000000000000000000000000	20e5e18ca407bbfd47746667e74de9a1	20e5e18ca407bbfd47746667e74de9a1	
carry-before-1	ffffffffffffffffffffffffffffffff	f4031eebc1680b65f6bee35513ebc336	f4031eebc1680b65f6bee35513ebc336	
carry-before-2	000102030405060708090a0b0c0d0e0f	07f2fee6f4bf57692a9418dcc8767bbf	07f2fee6f4bf57692a9418dcc8767bbf	
carry-before-3	fffefdfcfbfaf9f8f7f6f5f4f3f2f1f0	166ac54933bf149da553ae6ae7b41068	166ac54933bf149da553ae6ae7b41068	
carry-before-4	c88d52f9fb15c4ce69e214c8456a1d00	1c34fa54010c7deb5df39387ab15f7cc	1c34fa54010c7deb5df39387ab15f7cc	
carry-before-5	bbf714f5e391396d4dafec19a3cd0000	7caa837f68ae8705093c9c2bbc42e112	7caa837f68ae8705093c9c2bbc42e112	
carry-before-6	d7a93fc871874799ea0d77ade4000000	6f0673caea2c2414c41cc278041777c4	6f0673caea2c2414c41cc278041777c4	
carry-before-7	5c760caf6f7f6e74f226d91e00000000	52d6ad00a9694435f6aefa5775b574d5	52d6ad00a9694435f6aefa5775b574d5	
carry-before-8	0d5db2534ebfa0fd7b627c0000000000	16e945c68c77b1aafabfcff907e10c84	16e945c68c77b1aafabfcff907e10c84	
carry-before-9	ca94e8ef69d0c1601cf9000000000000	e002b8aac07412d73ea99c02f15db664	e002b8aac07412d73ea99c02f15db664	
carry-before-10	b18b65ecf2fb80baf900000000000000	36a60cb13a7aaed6ff32fdf44f48db84	36a60cb13a7aaed6ff32fdf44f48db84	
carry-before-11	8c733b9976ed83300000000000000000	794e432bbfcdc95588b3d586b46988a6	794e432bbfcdc95588b3d586b46988a6	
carry-before-12	05fb07bd351d1c000000000000000000	d63cc8cad2eec1d3373d5d160d0f36fa	d63cc8cad2eec1d3373d5d160d0f36fa	
carry-before-13	0ca1f8c3e24f00000000000000000000	635a853b8ff4acc2cc95ad2e50bcb107	635a853b8ff4acc2cc95ad2e50bcb107	
carry-before-14	fa2165aba00000000000000000000000	edb33df9c9dd4417b0a3185c8308937c	edb33df9c9dd4417b0a3185c8308937c	
carry-before-15	525fceec000000000000000000000000	774bec797b66e3c0e40678becac64558	774bec797b66e3c0e40678becac64558	
carry-before-16	1b4bee00000000000000000000000000	dc38ae5c743d6cbfa9a1aa74ce237f15	dc38ae5c743d6cbfa9a1aa74ce237f15	
carry-before-17	a8a90000000000000000000000000000	34523ee0cd4f6fe32c80edeec9548a60	34523ee0cd4f6fe32c80edeec9548a60	
carry-before-18	de000000000000000000000000000000	62d0b04514d30f78c869027704e74bf2	62d0b04514d30f78c869027704e74bf2	
carry-before-19	0000000000000000000000000000ff00	f674507c6769de1eb22c1d83f518303c	f674507c6769de1eb22c1d83f518303c	
carry-before-20	000000000000000000000000000000ff	f8942822bfe641be677fd760fcbadbc1	f8942822bfe641be677fd760fcbadbc1	
carry-after-0	01010101010101010101010101010101	689d42c52326eab4fc6499cdc628718c	689d42c52326eab4fc6499cdc628718c	
carry-after-1	ffffffffffffffffffffffffffffff00	c759053c05d5a9e99a060de29ab42766	c759053c05d5a9e99a060de29ab42766	
carry-after-2	000102030405060708090a0b0c0d0e10	1a640e682c5ed3eb6ed695474a43fdd9	1a640e682c5ed3eb6ed695474a43fdd9	
carry-after-3	fffefdfcfbfaf9f8f7f6f5f4f3f2f1f1	221a861bc18b6f323855f9c06bb9b6f8	221a861bc18b6f323855f9c06bb9b6f8	
carry-after-4	c88d52f9fb15c4ce69e214c8456a1e01	02b15a001829dbf98fa51a3c81fbd8fe	02b15a001829dbf98fa51a3c81fbd8fe	
carry-after-5	bbf714f5e391396d4dafec19a3ce0101	511a36f7f965a6be627278fd06006f05	511a36f7f965a6be627278fd06006f05	
carry-after-6	d7a93fc871874799ea0d77ade5010101	9d050ede1590bc7395f9d9f9e2fc37e6	9d050ede1590bc7395f9d9f9e2fc37e6	
carry-after-7	5c760caf6f7f6e74f226d91f01010101	4ec2c45541976190f5fd2f3268ce3d56	4ec2c45541976190f5fd2f3268ce3d56	
carry-after-8	0d5db2534ebfa0fd7b627d0101010101	ef5fddb684f3231133f9a47fe9a4883e	ef5fddb684f3231133f9a47fe9a4883e	
carry-after-9	ca94e8ef69d0c1601cfa010101010101	eb2b0d258a09856a6fcabd6bb676be3b	eb2b0d258a09856a6fcabd6bb676be3b	
carry-after-10	b18b65ecf2fb80bafa01010101010101	2391ddac1f7d051c3c19687c744a4b7d	2391ddac1f7d051c3c19687c744a4b7d	
carry-after-11	8c733b9976ed83310101010101010101	faf68b82bd68dc78c0e402548b29e62a	faf68b82bd68dc78c0e402548b29e62a	
carry-after-12	05fb07bd351d1d010101010101010101	4488326acbdfb77249109efbfc998fbe	4488326acbdfb77249109efbfc998fbe	
carry-after-13	0ca1f8c3e25001010101010101010101	8b1a325fe8ee3d9185ab06e6012ce386	8b1a325fe8ee3d9185ab06e6012ce386	
carry-after-14	fa2165aba10101010101010101010101	7c60c2ec3385b44ac1adf5fa5da252e5	7c60c2ec3385b44ac1adf5fa5da252e5	
carry-after-15	525fceed010101010101010101010101	562a8f5852c60094b10a001e736d1377	562a8f5852c60094b10a001e736d1377	
carry-after-16	1b4bef01010101010101010101010101	4a38afff7c4fb4f40abfbc350b10ea52	4a38afff7c4fb4f40abfbc350b10ea52	
carry-after-17	a8aa0101010101010101010101010101	4945eb1ffb6d5e3ad55b993d64cffbc3	4945eb1ffb6d5e3ad55b993d64cffbc3	
carry-after-18	df010101010101010101010101010101	4dace357a53e726e3be78b5abd8d88e4	4dace357a53e726e3be78b5abd8d88e4	
carry-after-19	00000000000000000000000000000001	569ce1082342a65de722be27f5086916	569ce1082342a65de722be27f5086916	
carry-after-20	00000000000000000000000000000000	20e5e18ca407bbfd47746667e74de9a1	20e5e18ca407bbfd47746667e74de9a1	
