label	factor	bits	value	predecessor	gap	normalized_gap	value_gmp_probable_prime	predecessor_gmp_probable_prime
RSA-200	2	332	7925869954478333033347085841480059687737975857364219960734330341455767872818152135381409304740185467	7925869954478333033347085841480059687737975857364219960734330341455767872818152135381409304740184867	600	1.3042000755649459	1	1
RSA-210	1	348	435958568325940791799951965387214406385470910265220196318705482144524085345275999740244625255428455944579	435958568325940791799951965387214406385470910265220196318705482144524085345275999740244625255428455943433	1146	2.3781733323683705	1	1
RSA-210	2	348	562545761726884103756277007304447481743876944007510545104946851094548396577479473472146228550799322939273	562545761726884103756277007304447481743876944007510545104946851094548396577479473472146228550799322938673	600	1.243800937740031	1	1
RSA-220	1	364	32929074394863498120493015492129352919164551965362339524626860511692903493094652463337824866390738191765712603	32929074394863498120493015492129352919164551965362339524626860511692903493094652463337824866390738191765712471	132	0.26172451884332076	1	1
RSA-220	2	365	68636564122675662743823714992884378001308422399791648446212449933215410614414642667938213644208420192054999687	68636564122675662743823714992884378001308422399791648446212449933215410614414642667938213644208420192054998409	1278	2.5266103127901283	1	1
RSA-230	1	381	3968132623150957588532394439049887341769533966621957829426966084093049516953598120833228447171744337427374763106901	3968132623150957588532394439049887341769533966621957829426966084093049516953598120833228447171744337427374763106349	552	1.0459577295163469	1	1
RSA-230	2	381	4528450358010492026612439739120166758911246047493700040073956759261590397250033699357694507193523000343088601688589	4528450358010492026612439739120166758911246047493700040073956759261590397250033699357694507193523000343088601688139	450	0.85225632651019301	1	1
RSA-240	1	397	244624208838318150567813139024002896653802092578931401452041221336558477095178155258218897735030590669041302045908071447	244624208838318150567813139024002896653802092578931401452041221336558477095178155258218897735030590669041302045908071267	180	0.32738918368661873	1	1
RSA-240	2	398	509435952285839914555051023580843714132648382024111473186660296521821206469746700620316443478873837606252372049619334517	509435952285839914555051023580843714132648382024111473186660296521821206469746700620316443478873837606252372049619333299	1218	2.2094375561432154	1	1
RSA-250	1	414	33372027594978156556226010605355114227940760344767554666784520987023841729210037080257448673296881877565718986258036932062711	33372027594978156556226010605355114227940760344767554666784520987023841729210037080257448673296881877565718986258036932061817	894	1.5589813685326901	1	1
RSA-250	2	415	64135289477071580278790190170577389084825014742943447208116859632024532344630238623598752668347708737661925585694639798853367	64135289477071580278790190170577389084825014742943447208116859632024532344630238623598752668347708737661925585694639798852989	378	0.65766818565394225	1	1
RSA-260	1	431	4397328654844826923795068102505872571721883526553349659561256924505973939597593482272505698004801207988043088656411102133523080581	4397328654844826923795068102505872571721883526553349659561256924505973939597593482272505698004801207988043088656411102133523080251	330	0.55273701694440436	1	1
RSA-260	2	431	5028695206842569864686141618253083416610081090075366674776775706538324961364412200138116378509733307971876652984898985905923678379	5028695206842569864686141618253083416610081090075366674776775706538324961364412200138116378509733307971876652984898985905923677839	540	0.90407243180472086	1	1
